Filename,202_3.mzML,202_1.mzML,202_2.mzML,203_1.mzML,203_2.mzML,203_3.mzML,204_1.mzML,204_2.mzML,205_1.mzML,205_2.mzML,206_1.mzML,206_2.mzML,207_2.mzML,207_1.mzML,208_2.mzML,208_1.mzML,209_2.mzML,209_1.mzML,210_1.mzML,210_2.mzML,211_1.mzML,211_2.mzML,212_1.mzML,212_2.mzML,213_1.mzML,213_3.mzML,213_2.mzML
Sample,202,202,202,203,203,203,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,213,213,213
2/498.4023mz/0.59min,830482.5625,793457.8125,798402.25,NA,851639.875,849604.3125,NA,NA,854867.25,892626.0625,859430.375,899694.625,NA,NA,851674.1875,848153.1875,NA,NA,874891.1875,890039.875,901516,857321.625,NA,NA,NA,NA,NA
9/348.1963mz/0.68min,1559534.25,3605809.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567935.25,321987.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334332,308470.96875,NA
13/348.5304mz/0.68min,655342,1780574.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/305.5095mz/0.68min,350575.40625,503858.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/110.0089mz/0.69min,416914.75,NA,259384.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/386.5382mz/0.69min,315402.84375,950829.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37/356.2119mz/0.69min,3859778,3474452.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39/381.2073mz/0.69min,1356643.125,9333924,NA,NA,NA,NA,NA,NA,NA,NA,2606286.75,2415510.25,278251.65625,4176955.75,5857151.5,6906426.5,235084.46875,214302.46875,NA,NA,6436165,6896372,2711929,1062783.25,1331434.375,806218.75,640741.1875
40/381.5415mz/0.70min,505813.5625,5691164.5,NA,NA,NA,NA,NA,NA,NA,NA,1558477.375,1417560.75,NA,NA,3549207.75,4149713,108880.09375,77131.265625,NA,NA,3951461,4163131.75,1576793.875,613901.9375,743214.375,469329.375,348157.625
42/448.2733mz/0.70min,1693570.125,2666393.5,NA,NA,NA,NA,NA,NA,NA,NA,374369.1875,372253.9375,235126.125,606620.5625,561524.6875,830227.1875,NA,NA,NA,NA,434972.6875,398169.3125,NA,NA,309878.375,231873.5625,NA
43/343.1990mz/0.70min,1496514.375,12153586,NA,NA,NA,NA,NA,NA,5032251.5,1426068.25,5054121,4603609.5,3449581.5,7018130,7997458.5,10131096,427135.09375,421867.03125,NA,NA,5672721.5,5754621,5030689,1947943,3981819.75,2761702,1923208.375
44/343.5325mz/0.70min,238996.09375,4607378,NA,NA,NA,NA,NA,NA,1853679.5,465553,1837119.875,1676634.25,1170539,2616632.5,2982465,3721682.5,NA,NA,NA,NA,2051743.75,2113701.25,1801433.875,671680.0625,1432819,913559.4375,667940.375
46/342.8649mz/0.70min,2798757.5,22083308,NA,NA,NA,NA,NA,NA,8950089,2582677.5,8947676,8110842,6381231.5,12570059,14347038,17740998,840707,803642.5625,NA,NA,10074865,10266829,8721860,3433277.5,7069542.5,4946157.5,3471140.25
49/384.2433mz/0.70min,514534.53125,1405680.125,NA,NA,NA,NA,NA,NA,NA,NA,194787.078125,192420.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50/300.1783mz/0.71min,1009062.125,5537531.5,NA,NA,NA,NA,NA,NA,1643522.125,303744.71875,1795997.875,1656735.75,795508.8125,2269525.5,2726125,3376084.25,120375.1328125,122031.8984375,NA,NA,2476887,2483395.25,1697171.125,624010.375,1123494.875,793695,535137.5
53/333.2396mz/0.71min,1201838.75,NA,399734.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
