"Filename","203_1.mzML","206_1.mzML","205_1.mzML","203_2.mzML","205_2.mzML","206_2.mzML","202_3.mzML","203_3.mzML","208_2.mzML","207_2.mzML","209_2.mzML","211_1.mzML","210_1.mzML","209_1.mzML","202_1.mzML","207_1.mzML","212_1.mzML","212_2.mzML","211_2.mzML","208_1.mzML","213_1.mzML","213_3.mzML","210_2.mzML","204_1.mzML","202_2.mzML","213_2.mzML","204_2.mzML"
"Sample",203,204,204,203,204,204,202,203,204,204,204,204,204,204,202,204,204,204,204,204,213,213,204,204,202,213,204
"1/CC(CC(C)NC)CC(C)NC(=O)CCCCC(=O)NCCNCCNC(=O)CCCCC(=O)C/498.4023mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889654.75,NA,NA,NA,NA,NA,NA,NA,906136.5625,NA,NA,NA,NA,817795.0625
"2/CC(CC(C)NC)CC(C)NC(=O)CCCCC(=O)NCCNCCNC(=O)CCCCC(=O)C/498.4023mz",NA,859430.375,854867.25,851639.875,892626.0625,899694.625,830482.5625,849604.3125,851674.1875,838898.5625,851088.125,901516,874891.1875,NA,793457.8125,NA,908423.25,NA,857321.625,848153.1875,840975.9375,NA,890039.875,863976,798402.25,NA,NA
"12/CS(=O)(=O)CCNCl/158.0034mz",449157,248907.609375,263216.8125,403629.59375,249428.75,283265.59375,NA,265699.75,NA,NA,465461.40625,NA,438369.875,492401.75,NA,NA,NA,321316.15625,NA,NA,223852.28125,NA,413190.71875,NA,342137.5,311497.96875,NA
"16/CC[CH]CS(=O)(=O)O/120.0239mz",340883.25,163678.703125,114491.84375,295014.46875,186853.65625,198179.65625,NA,211928.078125,NA,NA,384572.09375,NA,353692.21875,400390.9375,NA,NA,NA,258053.796875,NA,NA,NA,NA,329664.59375,NA,230545.28125,239429.9375,NA
"21/COOOOOON/128.0195mz",62949.62890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195124.453125,NA,NA
"29/CC(N=C=O)(F)F/130.0084mz",239236.703125,NA,NA,220232.828125,141092.921875,NA,NA,130511.3671875,NA,NA,265083.25,NA,253286.703125,280224.75,NA,NA,NA,NA,NA,NA,NA,NA,236655.890625,NA,111123.8828125,135781.765625,NA
"33/C1=C(C=C(C=C1Cl)Cl)P(O)O/232.9290mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81394.3203125,NA,801949.5625
"34/C(=C(OC(=O)O)Br)OC(=O)O/248.9014mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192129.578125,NA,412143.40625
"43/CCC(C)C(C(=O)NCC(=O)O)NC(=O)CNC(=O)C1CCCN1/343.1990mz",NA,5054121,5032251.5,462557.875,1426068.25,4603609.5,1496514.375,NA,7997458.5,3449581.5,427135.09375,5672721.5,NA,421867.03125,12153586,7018130,5030689,1947943,5754621,10131096,3981819.75,2761702,NA,8342223,NA,1923208.375,NA
"46/CCN(CC)P(=NP(=O)(Cl)Cl)(Cl)Cl/342.8649mz",NA,8947676,8950089,899739.5625,2582677.5,8110842,2798757.5,NA,14347038,6381231.5,840707,10074865,NA,803642.5625,22083308,12570059,8721860,3433277.5,10266829,17740998,7069542.5,4946157.5,NA,15126701,NA,3471140.25,NA
"53/CC(C)CC(C(CC(=O)OC(CC(=O)O)C(CC(C)C)N)O)N/333.2396mz",NA,NA,NA,NA,NA,NA,1201838.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399734.6875,NA,NA
"60/NA/Comphene",NA,NA,NA,NA,NA,NA,718219.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243722.734375,NA,NA
"63/CC1([C]C2(CCC1C2)C)C/154.1596mz",NA,NA,NA,NA,NA,NA,1663277.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629433.9375,NA,NA
"64/NA/Isophorone diamine",NA,NA,NA,NA,NA,NA,1115292.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409499.625,NA,NA
"65/NA/Melibiose",780159.5625,308149.125,283339.3125,1019341.8125,375445.1875,542923.625,1336808.75,463121.25,NA,369071.375,303234.34375,NA,377943.09375,345541.625,1389947.875,NA,305304.3125,130946.5625,NA,NA,242276.671875,283561.46875,299115.375,534130.3125,NA,127125.0703125,NA
"66/CCN(CC)CCCN(CC)CCCCCCCl/315.1957mz",NA,NA,NA,NA,NA,NA,571493.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190880.375,NA,NA
"67/NA/4-AMINOBUTANOATE - 40.0 eV",363077.84375,NA,NA,289562.4375,NA,247627.421875,340414.09375,115987.421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70/CCCCCCCCP(=O)(CCCN)CCCN/299.2216mz",NA,NA,NA,NA,NA,NA,483823.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170563.59375,NA,NA
"71/CN1CCN(C(C1)CNC(=O)CNS(=O)(=O)C2=CC=C(S2)Cl)C/381.0809mz",200617,NA,NA,181717.890625,NA,359561.28125,556548.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72/CCCC1(CC1)CNCC2(CC2)CC#N/207.1862mz",NA,NA,NA,NA,NA,NA,833544.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330962.1875,NA,NA
"73/CC(C)N1CCC(CC1)N(C2CC2)C(=O)C/242.2235mz",NA,NA,NA,NA,NA,NA,582441.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204730.734375,NA,NA
"74/CC1=NCCCN=C(CC(=NCCCN=C(C1)C)C)C/277.2396mz",NA,NA,NA,NA,NA,NA,2952825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369215.375,NA,NA
"75/COC1=CC=CC=N1/110.0603mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907878.875,720182.875,NA,1975645.25
"80/NA/Spectral Match to 1-Amino-2-ethoxybenzene from NIST14",196097.734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731238.4375,NA,906874.6875,NA,NA,NA,NA,NA,394405.96875,414634.875,1093646.125,7550462,5759109.5,NA,12047064
"82/C1C2=CC=CC=C2CC1(C(=O)O)N/178.0870mz",319832.71875,NA,NA,200904.1875,98847.3203125,200742.859375,NA,275322.71875,NA,614944.5,NA,NA,1083638.875,NA,NA,380626.5625,745241.9375,233602.9375,NA,NA,670697.4375,820166.125,1024601.9375,NA,NA,297357.59375,NA
"84/CC(=O)NCC1=NC=CC(=N1)N(C)C/217.1055mz",NA,NA,NA,NA,NA,NA,392672.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282787.90625,NA,NA
"90/CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(C(C)C)N/360.2146mz",NA,NA,NA,NA,NA,NA,NA,NA,353737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315975.21875,NA,NA,NA,NA,NA,NA,NA
"91/CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC3(CCCCC3)CSC(C)(C)C)C(=O)NC(CC4CC4)C(=O)C(=O)N)C/656.3830mz",NA,NA,NA,NA,NA,NA,NA,NA,2377680.25,NA,NA,NA,NA,NA,3159342.5,NA,NA,NA,472595.28125,2442635.75,NA,NA,NA,968984.6875,NA,NA,NA
"96/CCC(C)C(C(=O)N1CCCC1C(=O)N2CCCC2C(=O)O)N/326.2088mz",220509.71875,1140904,1360093,NA,NA,1100009,NA,NA,512866,2445427.75,NA,965536.1875,461044.625,NA,NA,2618373.75,632402.8125,NA,329438.875,1524556.875,500068.625,722083.125,NA,NA,NA,113931.1796875,NA
"98/CC1=C(SC=N1)CCO/144.0483mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664387.1875,547454.8125,NA,833511.25
"102/B1(OC(C2C(O1)C3C(O2)OB(O3)CC)C)CC/261.1316mz",NA,NA,NA,NA,NA,NA,417628.53125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342094.4375,NA,NA
"105/CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)O)NC(=O)C(CO)NC(=O)C2CCCN2C(=O)C(CC(=O)N)N/656.3264mz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720438.375,NA,NA,NA,NA,NA,NA,373942.1875,384344,NA,NA,NA,NA,NA,NA,NA
"109/CC(=O)OCC1C(C2C(CO1)N(C(=O)O2)C3=CC=C(C=C3)OC)OC(=O)C/380.1350mz",NA,NA,NA,NA,NA,14671.470703125,532326.125,NA,NA,542063.5625,NA,225756.28125,505961.03125,NA,678511.5625,227630.46875,NA,NA,NA,NA,NA,215335.46875,346029.75,NA,NA,NA,NA
