"Filename",203_1.mzML,206_1.mzML,205_1.mzML,203_2.mzML,205_2.mzML,206_2.mzML,202_3.mzML,203_3.mzML,208_2.mzML,207_2.mzML,209_2.mzML,211_1.mzML,210_1.mzML,209_1.mzML,202_1.mzML,207_1.mzML,212_1.mzML,212_2.mzML,211_2.mzML,208_1.mzML,213_1.mzML,213_3.mzML,210_2.mzML,204_1.mzML,202_2.mzML,213_2.mzML,204_2.mzML
Sample,203,204,204,203,204,204,202,203,204,204,204,204,204,204,202,204,204,204,204,204,213,213,204,204,202,213,204
1/498.4023mz/0.48min,,,,,,,,,,,,,,889654.75,,,,,,,,906136.5625,,,,,817795.0625
2/498.4023mz/0.59min,,859430.375,854867.25,851639.875,892626.0625,899694.625,830482.5625,849604.3125,851674.1875,838898.5625,851088.125,901516.0,874891.1875,,793457.8125,,908423.25,,857321.625,848153.1875,840975.9375,,890039.875,863976.0,798402.25,,
3/324.5392mz/0.67min,,,,,,,,,,,,,76139.234375,,,,,,,,,,53793.390625,,,,
4/343.6932mz/0.67min,,214826.5625,421921.59375,,,200135.796875,,,678333.5625,,,591968.0625,,,,579457.875,,,831725.4375,782254.125,,,,,,,
5/375.9542mz/0.68min,,,,57497.2109375,,,,,,,,327799.1875,,,,,,,481563.375,,,,,,,,
6/423.9055mz/0.68min,,198450.8125,187635.09375,,,261633.53125,,,665285.375,,,315781.53125,,,,306525.84375,237436.171875,,494390.125,813368.75,,,,,,,
7/343.4429mz/0.68min,,404576.84375,694005.0,,,408658.0,,,1154062.25,,,924094.125,,,726034.25,915587.125,409411.90625,105591.796875,1158563.25,1204684.875,134360.453125,,,,,,
8/318.1809mz/0.68min,,348287.875,259479.734375,,,309204.03125,,,733096.125,,,473259.1875,,,,376757.875,276130.4375,,593917.625,930425.625,,76795.7578125,,,,,
9/348.1963mz/0.68min,,,,,216994.328125,253650.125,1559534.25,,,567935.25,,,,,3605809.75,321987.34375,496960.53125,,,426614.40625,334332.0,308470.96875,,1116840.75,,,
10/106.9922mz/0.68min,215439.53125,,,184750.875,89684.71875,,,108005.9296875,,,226107.421875,,220390.25,246232.78125,,,,110504.1328125,,,,,197351.03125,,126755.3046875,112377.0390625,
11/457.9225mz/0.68min,,,101015.59375,,,,,,338339.15625,,,,,,,251584.90625,,,396469.84375,,,,,,,,
12/158.0034mz/0.68min,449157.0,248907.609375,263216.8125,403629.59375,249428.75,283265.59375,,265699.75,,,465461.40625,,438369.875,492401.75,,,,321316.15625,,,223852.28125,,413190.71875,,342137.5,311497.96875,
13/348.5304mz/0.68min,,,,,,,655342.0,,,261284.375,,,,,1780574.375,,,,,,,,,361399.75,,,
14/318.4313mz/0.68min,,,,,,169699.640625,,,443400.8125,,,,,,,,114703.625,,,508476.5,,,,,,,
16/120.0239mz/0.68min,340883.25,163678.703125,114491.84375,295014.46875,186853.65625,198179.65625,,211928.078125,,,384572.09375,,353692.21875,400390.9375,,,,258053.796875,,,,,329664.59375,,230545.28125,239429.9375,
17/424.2396mz/0.68min,,,,,,121056.1484375,,,,,,,,,,,,,,412410.78125,,,,,,,
18/305.5095mz/0.68min,,,,,,,350575.40625,,,,,,,,503858.71875,,,,,,,,,,,,
20/375.7037mz/0.69min,,,,120139.5078125,,,,,,,,429456.4375,,,,,,,662301.9375,,,,,,,,
21/128.0195mz/0.69min,62949.62890625,,,,,,,,,,,,,,,,,,,,,,,,195124.453125,,
22/102.0133mz/0.69min,167843.0625,,,133138.421875,56104.51953125,,,,,,175790.984375,,186578.328125,194619.25,,,,,,,,,163545.765625,,,,
23/110.0089mz/0.69min,82055.859375,,,,,,416914.75,,,,,,,,,,,,,,,,,,259384.40625,,
25/386.5382mz/0.69min,,,,,,,315402.84375,,,,,,,,950829.375,,,,,,,,,,,,
26/457.5884mz/0.69min,,,265129.21875,,,128185.65625,,,553405.5625,,,335484.625,,,,437277.75,114999.1328125,,575671.1875,240510.015625,,,,,,,
29/130.0084mz/0.69min,239236.703125,,,220232.828125,141092.921875,,,130511.3671875,,,265083.25,,253286.703125,280224.75,,,,,,,,,236655.890625,,111123.8828125,135781.765625,
31/141.9591mz/0.69min,,196398.15625,,256014.640625,,,,272781.75,,,343921.65625,,403233.1875,314724.84375,,,,,,,,,351951.25,,1072928.25,,860011.625
32/112.9670mz/0.69min,,,846590.1875,,,,,,,,,,,,,408819.5,,,,,,,,,,,
