row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,203_1.mzML Peak area,206_1.mzML Peak area,205_1.mzML Peak area,203_2.mzML Peak area,205_2.mzML Peak area,206_2.mzML Peak area,202_3.mzML Peak area,203_3.mzML Peak area,208_2.mzML Peak area,207_2.mzML Peak area,209_2.mzML Peak area,211_1.mzML Peak area,210_1.mzML Peak area,209_1.mzML Peak area,202_1.mzML Peak area,207_1.mzML Peak area,212_1.mzML Peak area,212_2.mzML Peak area,211_2.mzML Peak area,208_1.mzML Peak area,213_1.mzML Peak area,213_3.mzML Peak area,210_2.mzML Peak area,204_1.mzML Peak area,202_2.mzML Peak area,213_2.mzML Peak area,204_2.mzML Peak area,
2937,100.5099730931083,19.864437,,,,149,,,,,,,1705560.2,0,0,0,1577121.5,0,0,0,0,0,0,0,0,0,0,1813526.4,0,1379406.2,0,0,0,0,0,0,0,0,0,
1818,100.50998366642261,15.184727,,,,,,,,,,,0,386500.75,0,0,0,0,0,517502.44,0,0,370477.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1869,100.50998782891592,15.515538,,,,,,,,,,,0,0,0,0,43592.527,0,0,0,0,0,0,0,38664.805,0,0,0,0,0,94011.7,0,0,0,0,0,0,0,0,
1839,100.51000623485803,15.302478,,,,,,,,,,,0,0,515553.66,0,0,555159.9,110486.96,309642.38,0,0,0,192743.55,0,0,0,324214.2,0,159295.9,66808.16,0,0,0,177581.2,0,0,150902.62,0,
205,101.02340318060992,1.5043825,,,,,,,,,,,267107.44,371978.0,0,0,0,423137.2,0,255224.56,506400.53,808519.75,0,0,343921.94,466902.16,0,291332.16,237873.72,0,259291.88,575799.25,215414.08,207740.6,268003.2,0,0,0,0,
22,102.0132646350233,0.6869553,,,,50,,,,,,,167843.06,0,0,133138.42,56104.52,0,0,0,0,0,175790.98,0,186578.33,194619.25,0,0,0,0,0,0,0,0,163545.77,0,0,0,0,
2888,102.12779415054104,19.603989,,,,,,,,,,,0,2057568.8,0,0,0,0,0,0,0,2067964.2,0,2290659.5,0,0,0,2190327.0,0,0,2151814.5,0,2082737.9,0,2527777.8,0,0,0,2194815.2,
1947,102.12780837699103,16.04476,,,,,,,,,,,0,0,0,0,0,0,8082937.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2920,102.12780958428593,19.733858,,,,,,,,,,,0,0,0,0,0,0,0,898845.06,373416.88,0,0,0,0,442636.1,0,0,755823.0,509374.94,0,0,0,0,0,750652.5,0,837283.25,0,
67,104.10722211647672,0.7439622,,,,112,,,,,,,363077.84,0,0,289562.44,0,247627.42,340414.1,115987.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,105.07006039004133,1.0326698,,,,,,,,,,,1293323.9,709975.8,429167.7,614079.9,384414.38,725662.6,1044337.25,1055583.6,0,2123135.5,1079289.5,596862.06,5437434.5,1232795.5,1636707.5,851386.2,1811210.2,513872.75,163964.78,609970.5,1668629.9,1886030.2,4858064.5,3120689.0,2654315.8,678740.75,3559757.0,
10,106.99218244559093,0.678197,,,,50,,,,,,,215439.53,0,0,184750.88,89684.72,0,0,108005.93,0,0,226107.42,0,220390.25,246232.78,0,0,0,110504.13,0,0,0,0,197351.03,0,126755.305,112377.04,0,
23,110.00890261290415,0.6870608,,,,,,,,,,,82055.86,0,0,0,0,0,416914.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259384.4,0,0,
75,110.06034184577823,0.7823015,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907878.9,720182.9,0,1975645.2,
2940,111.02030736953535,19.862823,,,,149,,,,,,,555829.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558993.44,0,0,0,0,0,0,0,0,0,0,0,
2968,111.96853958450889,20.302109,,,,,,,,,,,0,1442124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319714.6,0,0,0,0,0,1119912.5,0,0,0,1425283.1,0,
32,112.9669852636706,0.6920171,,,,,,,,,,,0,0,846590.2,0,0,0,0,0,0,0,0,0,0,0,0,408819.5,0,0,0,0,0,0,0,0,0,0,0,
2950,113.96381100082455,19.981539,,,,,,,,,,,0,0,0,0,5148207.5,0,0,0,1.2337406E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1127562E7,0,1.223879E7,
2964,113.96382151290017,20.295437,,,,,,,,,,,0,0,0,0,0,2.6886282E7,0,0,0,0,0,0,0,0,0,0,0,0,2.2463448E7,0,0,2.7891602E7,0,0,0,0,0,
38,113.96400321270485,0.6944407,,,,135,0,[M+2H]+2,,2,34;38,225.91283,0,947619.0,0,0,0,859215.8,0,0,0,0,1220021.5,0,1406177.4,1108385.6,0,0,0,0,0,0,0,0,1185750.8,0,2688598.0,0,2198625.5,
1892,114.091454342502,15.670238,,,,,,,,,,,0,0,0,0,67142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2887,114.09149552712948,19.594818,,,,,,,,,,,157045.38,147061.89,193780.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152517.33,0,0,130592.63,0,0,0,0,139768.44,0,
