id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_Fototroficos_analisis_3_muestrascompletas_estadi_1	C26H51N5O4	[M + H]+	C26H51N5O4	Amino acids and Peptides	0.7396098971366882	Fatty amides	0.1844661384820938	N-acyl amines	0.2869698107242584	Valine and derivatives	0.5190272927284241	Amino acids and derivatives	0.987351655960083	Amino acids, peptides, and analogues	0.9879854321479797	Carboxylic acids and derivatives	0.9791750311851501	Organic acids and derivatives	0.9995473027229309	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_Fototroficos_analisis_3_muestrascompletas_estadi_2	C26H51N5O4	[M + H]+	C26H51N5O4	Amino acids and Peptides	0.7268571257591248	Fatty amides	0.18353332579135895	N-acyl amines	0.28001272678375244	Valine and derivatives	0.5064022541046143	Amino acids and derivatives	0.9865853786468506	Amino acids, peptides, and analogues	0.9872391819953918	Carboxylic acids and derivatives	0.9776242971420288	Organic acids and derivatives	0.9995396137237549	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2
6_Fototroficos_analisis_3_muestrascompletas_estadi_12	C3H8ClNO2S	[M + H]+	C3H8ClNO2S	Fatty acids	0.264069139957428	Fatty acyls	0.6829659938812256	Halogenated hydrocarbons	0.20798435807228088	Organosulfonic acids and derivatives	0.5193338394165039			Organosulfonic acids and derivatives	0.5193338394165039	Organic sulfonic acids and derivatives	0.4955526292324066	Organic acids and derivatives	0.6602959036827087	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl chlorides; Sulfonyls; Organochlorides; Amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	12
7_Fototroficos_analisis_3_muestrascompletas_estadi_16	C4H9O3S	[M - H2O + H]+	C4H7O2S	Fatty acids	0.5964107513427734	Fatty Acids and Conjugates	0.44441497325897217	Fatty alcohols	0.1652078628540039	Carboxylic acids	0.6807798147201538			Carboxylic acids	0.6807798147201538	Carboxylic acids and derivatives	0.6606238484382629	Organic acids and derivatives	0.9454542398452759	Organic compounds; Organosulfur compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic anions; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	16
8_Fototroficos_analisis_3_muestrascompletas_estadi_21	CH5NO6	[M + H]+	CH5NO6	Amino acids and Peptides	0.9124740958213806	Small peptides	0.8807619214057922	Aminoacids	0.8355647325515747	Carbohydrates and carbohydrate conjugates	0.07136165350675583			Carbohydrates and carbohydrate conjugates	0.07136165350675583	Organooxygen compounds	0.9999291896820068	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	21
11_Fototroficos_analisis_3_muestrascompletas_estadi_29	C3H3F2NO	[M + Na]+	C3H3F2NO	Fatty acids	0.3807969391345978	Fatty acyls	0.8177441358566284	Halogenated hydrocarbons	0.25207406282424927	Carboxylic acids and derivatives	0.6540261507034302					Carboxylic acids and derivatives	0.6540261507034302	Organic acids and derivatives	0.40238457918167114	Organic compounds; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	29
14_Fototroficos_analisis_3_muestrascompletas_estadi_33	C6H5Cl2O2P	[M + Na]+	C6H5Cl2O2P	Shikimates and Phenylpropanoids	0.6169969439506531	Phenolic acids (C6-C1)	0.6816912293434143	Simple phenolic acids	0.7581349015235901	Chlorobenzenes	0.845211386680603	Chlorobenzenes	0.845211386680603	Halobenzenes	0.9174861311912537	Benzene and substituted derivatives	0.9678897857666016	Benzenoids	0.9859189987182617	Organic compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organophosphorus compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	33
15_Fototroficos_analisis_3_muestrascompletas_estadi_34	C4H3BrO6	[M + Na]+	C4H3BrO6	Carbohydrates	0.3272075951099396	Saccharides	0.24881409108638763	Dicarboxylic acids	0.46847134828567505	Butenolides	0.6971731185913086	Butenolides	0.6971731185913086	Furanones	0.8671272397041321	Dihydrofurans	0.8735296130180359	Organoheterocyclic compounds	0.9664129018783569	Organic compounds; Organoheterocyclic compounds; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl bromides; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Organobromides; Alpha-halocarboxylic acids and derivatives; Carbonyl compounds; Furanones; Dihydrofurans; Butenolides; Alpha-halocarboxylic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	34
19_Fototroficos_analisis_3_muestrascompletas_estadi_43	C15H26N4O5	[M + H]+	C15H26N4O5	Amino acids and Peptides	0.9768185615539551	Small peptides	0.9496305584907532	Tripeptides	0.8949830532073975	Oligopeptides	0.9079715013504028	Peptides	0.9815655946731567	Amino acids, peptides, and analogues	0.9821949601173401	Carboxylic acids and derivatives	0.9965623021125793	Organic acids and derivatives	0.9994685053825378	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	43
20_Fototroficos_analisis_3_muestrascompletas_estadi_46	C4H10Cl4N2OP2	[M + K]+	C4H10Cl4N2OP2	Alkaloids	0.8273472785949707	Ornithine alkaloids	0.8100999593734741	Halogenated hydrocarbons	0.9455981254577637	Nitrogen mustard compounds	0.9541212320327759			Nitrogen mustard compounds	0.9541212320327759	Organonitrogen compounds	0.9999942779541016	Organic nitrogen compounds	1.0	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Nitrogen mustard compounds; Alkyl chlorides; Organic phosphoramides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	46
21_Fototroficos_analisis_3_muestrascompletas_estadi_53	C16H32N2O5	[M + H]+	C16H32N2O5	Fatty acids	0.3709017038345337	Sphingolipids	0.16518236696720123	Sphingoid bases	0.16728486120700836	Amino acids	0.6178682446479797	Amino acids and derivatives	0.6467955112457275	Amino acids, peptides, and analogues	0.64414381980896	Carboxylic acids and derivatives	0.7384240627288818	Organic acids and derivatives	0.7039409279823303	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	53
22_Fototroficos_analisis_3_muestrascompletas_estadi_60	C10H16	[M + H]+	C10H16	Terpenoids	0.9932277798652649	Monoterpenoids	0.9737951159477234	Fenchane monoterpenoids	0.5246282815933228	Bicyclic monoterpenoids	0.5409191250801086	Bicyclic monoterpenoids	0.5409191250801086	Monoterpenoids	0.7259935736656189	Prenol lipids	0.6217662692070007	Lipids and lipid-like molecules	0.641650915145874	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Monoterpenoids; Bicyclic monoterpenoids; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities	60
23_Fototroficos_analisis_3_muestrascompletas_estadi_63	C10H16	[M + H3N + H]+	C10H19N	Terpenoids	0.9965934157371521	Monoterpenoids	0.963519275188446	Fenchane monoterpenoids	0.7931069135665894	Monoterpenoids	0.64748215675354			Monoterpenoids	0.64748215675354	Prenol lipids	0.5915346145629883	Lipids and lipid-like molecules	0.579302191734314	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Monoterpenoids; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities	63
24_Fototroficos_analisis_3_muestrascompletas_estadi_64	C10H19N	[M + H3N + H]+	C10H22N2	Terpenoids	0.8964430093765259	Monoterpenoids	0.5928659439086914	Pinane monoterpenoids	0.29301032423973083	Monoalkylamines	0.9958788156509399	Primary amines	0.9948337078094482	Amines	0.9999802112579346	Organonitrogen compounds	0.9999983310699463	Organic nitrogen compounds	0.9999997615814209	Organic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	64
25_Fototroficos_analisis_3_muestrascompletas_estadi_65	C12H22O11	[M + Na]+	C12H22O11	Carbohydrates	0.9932913780212402	Saccharides	0.9941338896751404	Disaccharides	0.9999974966049194	Disaccharides	0.8767423033714294	Disaccharides	0.8767423033714294	Carbohydrates and carbohydrate conjugates	0.9999866485595703	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	65
26_Fototroficos_analisis_3_muestrascompletas_estadi_66	C15H33ClN2	[M + K]+	C15H33ClN2	Alkaloids	0.8695418834686279	Pseudoalkaloids	0.12293828278779984	Piperidine alkaloids	0.05315432325005531	Trialkylamines	0.7412950992584229	Tertiary amines	0.7639003396034241	Amines	0.9997182488441467	Organonitrogen compounds	0.9999998807907104	Organic nitrogen compounds	1.0	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Dialkylamines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	66
27_Fototroficos_analisis_3_muestrascompletas_estadi_67	C5H13NO	[M + H]+	C5H13NO	Alkaloids	0.8503248691558838	Fatty acyls	0.17874227464199066	Fatty alcohols	0.18338263034820557	Tetraalkylammonium salts	0.9725534319877625	Tetraalkylammonium salts	0.9725534319877625	Quaternary ammonium salts	0.9963582158088684	Organonitrogen compounds	0.9999947547912598	Organic nitrogen compounds	0.9999984502792358	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	67
28_Fototroficos_analisis_3_muestrascompletas_estadi_70	C14H33N2OP	[M + Na]+	C14H33N2OP	Alkaloids	0.9326468110084534	Ornithine alkaloids	0.7909982204437256	Polyamines	0.6628434062004089	Dialkylamines	0.5509428381919861	Secondary amines	0.5472891926765442	Amines	0.9403334856033325	Organonitrogen compounds	0.9999997615814209	Organic nitrogen compounds	1.0	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	70
