"formulaRank"	"molecularFormula"	"adduct"	"precursorFormula"	"NPC#pathway"	"NPC#pathway Probability"	"NPC#superclass"	"NPC#superclass Probability"	"NPC#class"	"NPC#class Probability"	"ClassyFire#superclass"	"ClassyFire#superclass probability"	"ClassyFire#class"	"ClassyFire#class Probability"	"ClassyFire#subclass"	"ClassyFire#subclass Probability"	"ClassyFire#level 5"	"ClassyFire#level 5 Probability"	"ClassyFire#most specific class"	"ClassyFire#most specific class Probability"	"ClassyFire#all classifications"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"
2	"CH5NO6"	"[M + H]+"	"CH6NO6+"	"Fatty acids"	0.931	"Fatty Acids and Conjugates"	0.733	"Halogenated fatty acids"	0.719	"Organic acids and derivatives"	0.908	"Carboxylic acids and derivatives"	0.762	"Carboxylic acids"	0.726			"Carboxylic acids"	0.726	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	128.019	56	0.933	"673151860429262819"	"673150985799423995"	"1"	
2	"C2H3N2O2"	"[M + Na]+"	"C2H3N2NaO2+"	"Alkaloids"	0.745	"Nicotinic acid alkaloids"	0.492	"Pyridine alkaloids"	0.493	"Organoheterocyclic compounds"	0.508							"Organoheterocyclic compounds"	0.508	"Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	110.009	56	0.935	"673151888640157959"	"673150985946224640"	"2"	
2	"C4H6Cl2O4S"	"[M + Na]+"	"C4H6Cl2NaO4S+"	"Fatty acids"	0.990	"Fatty Acids and Conjugates"	0.980	"Halogenated fatty acids"	0.943	"Organic acids and derivatives"	0.979	"Carboxylic acids and derivatives"	0.956	"Carboxylic acids"	0.896			"Carboxylic acids"	0.896	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Alkyl halides; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	242.925	62	1.032	"673151874559876388"	"673150986021722117"	"3"	
2	"C14H5Cl5N2O3S"	"[M + Na]+"	"C14H5Cl5N2NaO3S+"	"Alkaloids"	0.562	"Proline alkaloids"	0.160	"Pyrrole alkaloids"	0.160	"Benzenoids"	0.986	"Benzene and substituted derivatives"	0.691	"Halobenzenes"	0.571	"Chlorobenzenes"	0.569	"Dichlorobenzenes"	0.561	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	478.835	63	1.043	"673151870986328743"	"673150986181105679"	"5"	
1	"C7H2Cl2O3S"	"[M + K]+"	"C7H2Cl2KO3S+"	"Shikimates and Phenylpropanoids"	0.791	"Phenolic acids (C6-C1)"	0.530	"Simple phenolic acids"	0.663	"Benzenoids"	0.966	"Benzene and substituted derivatives"	0.557	"Halobenzenes"	0.558	"Chlorobenzenes"	0.646	"Chlorobenzenes"	0.646	"Organic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	274.873	63	1.050	"673151880956191295"	"673150986504067112"	"10"	
3	"C10H7BrCl2O5S"	"[M + K]+"	"C10H7BrCl2KO5S+"	"Shikimates and Phenylpropanoids"	0.461	"Phenolic acids (C6-C1)"	0.316	"Simple phenolic acids"	0.366	"Benzenoids"	0.998	"Benzene and substituted derivatives"	0.973	"Benzoic acids and derivatives"	0.642	"Halobenzoic acids and derivatives"	0.773	"Halobenzoic acids"	0.600	"Organic compounds; Organosulfur compounds; Halobenzenes; Alkyl aryl ethers; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Sulfonyl halides; Aryl bromides; Aryl chlorides; Sulfonyl chlorides; Bromobenzenes; Chlorobenzenes; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organobromides; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Vinyl halides; Halobenzoic acids and derivatives; Halobenzoic acids; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Benzenesulfonyl chlorides; Benzenesulfonyl halides; Organic sulfonic acids and derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities"	426.821	63	1.050	"673151887444781000"	"673150986684422199"	"13"	
1	"C6H11N3O2"	"[M + H3N + H]+"	"C6H15N4O2+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acids"	0.945	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	175.119	65	1.085	"673151897976680464"	"673150986793474113"	"16"	
1	"C19H17N3O6"	"[M - H2O + H]+"	"C19H16N3O5+"	"Amino acids and Peptides"	0.598	"Small peptides"	0.123	"Dipeptides"	0.068	"Organic acids and derivatives"	0.992	"Carboxylic acids and derivatives"	0.964	"Amino acids, peptides, and analogues"	0.557	"Amino acids and derivatives"	0.549	"Amino acids and derivatives"	0.549	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic nitro compounds; Organic oxoazanium compounds; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"	366.108	66	1.108	"673151868440385711"	"673150986852194374"	"18"	
1	"C15H15F3N2O6"	"[M + K]+"	"C15H15F3KN2O6+"	"Terpenoids"	0.295	"Nucleosides"	0.084	"Pyrimidine nucleosides"	0.117	"Benzenoids"	0.761	"Benzene and substituted derivatives"	0.593					"Benzene and substituted derivatives"	0.593	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organic oxoazanium compounds; Organofluorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	415.051	67	1.112	"673151889042811288"	"673150987070298197"	"22"	
1	"C12H21O11"	"[M + H + H]+"	"C12H23O11+"	"Carbohydrates"	0.998	"Saccharides"	0.999	"Disaccharides"	0.995	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.999	"Disaccharides"	0.789	"Disaccharides"	0.789	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	343.123	67	1.115	"673151883342750696"	"673150987124824154"	"23"	
