confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.9997441800517135	-182.41168768974356	0.9999999999999999	23.795538467627996	C26H51N5O4	[M + H]+	UYVONWKKKXLVFN	InChI=1S/C26H51N5O4/c1-20(18-21(2)27-5)19-22(3)31-26(35)13-9-8-12-25(34)30-17-15-28-14-16-29-24(33)11-7-6-10-23(4)32/h20-22,27-28H,6-19H2,1-5H3,(H,29,33)(H,30,34)(H,31,35)	N''-[4-methyl-6-(methylamino)heptan-2-yl]-N-[2-[2-(6-oxoheptanoylamino)ethylamino]ethyl]hexanediamide	CC(CC(C)NC)CC(C)NC(=O)CCCCC(=O)NCCNCCNC(=O)CCCCC(=O)C	0.600000024	20783033	PubChem:(20783033)	2	498.40233	181.814765625	199_Fototroficos_analisis_3_muestrascompletas_estadi_407	407
2	1	1	1	1	0.9997427523564967	-178.11724450512662	0.9999999999999999	21.412760429002013	C26H51N5O4	[M + H]+	UYVONWKKKXLVFN	InChI=1S/C26H51N5O4/c1-20(18-21(2)27-5)19-22(3)31-26(35)13-9-8-12-25(34)30-17-15-28-14-16-29-24(33)11-7-6-10-23(4)32/h20-22,27-28H,6-19H2,1-5H3,(H,29,33)(H,30,34)(H,31,35)	N''-[4-methyl-6-(methylamino)heptan-2-yl]-N-[2-[2-(6-oxoheptanoylamino)ethylamino]ethyl]hexanediamide	CC(CC(C)NC)CC(C)NC(=O)CCCCC(=O)NCCNCCNC(=O)CCCCC(=O)C	0.600000024	20783033	PubChem:(20783033)	2	498.40232	33.80688066106474	2_Fototroficos_analisis_3_muestrascompletas_estadi_2	2
3	1	1	1	1	0.9997427330949153	-178.49527297387127	0.9999999999999999	25.21939439742668	C26H51N5O4	[M + H]+	UYVONWKKKXLVFN	InChI=1S/C26H51N5O4/c1-20(18-21(2)27-5)19-22(3)31-26(35)13-9-8-12-25(34)30-17-15-28-14-16-29-24(33)11-7-6-10-23(4)32/h20-22,27-28H,6-19H2,1-5H3,(H,29,33)(H,30,34)(H,31,35)	N''-[4-methyl-6-(methylamino)heptan-2-yl]-N-[2-[2-(6-oxoheptanoylamino)ethylamino]ethyl]hexanediamide	CC(CC(C)NC)CC(C)NC(=O)CCCCC(=O)NCCNCCNC(=O)CCCCC(=O)C	0.600000024	20783033	PubChem:(20783033)	2	498.40233	29.84322692871094	1_Fototroficos_analisis_3_muestrascompletas_estadi_1	1
4	1	2	1	3	0.9996100038700919	-169.30703483956813	0.4603015075376885	37.92878534411192	C24H45NO15S3	[M + H]+	VXZSPMZDFURBGE	InChI=1S/C24H45NO15S3/c26-7-10-13(29)16(32)19(35)22(38-10)41-4-1-25(2-5-42-23-20(36)17(33)14(30)11(8-27)39-23)3-6-43-24-21(37)18(34)15(31)12(9-28)40-24/h10-24,26-37H,1-9H2	(2S,3R,4S,5S,6R)-2-[2-[bis[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]sulfanylethyl]amino]ethylsulfanyl]-6-(hydroxymethyl)oxane-3,4,5-triol	C(CSC1C(C(C(C(O1)CO)O)O)O)N(CCSC2C(C(C(C(O2)CO)O)O)O)CCSC3C(C(C(C(O3)CO)O)O)O	-4.19999981	11991303;11991304;11991305	PubChem:(11991303 11991304 11991305)	2	684.20476	1017.4	738_Fototroficos_analisis_3_muestrascompletas_estadi_2258	2258
5	1	1	1	1	0.9954192688407854	-437.17177799736794	0.9999999999999999	29.014628042623965	C23H39BN4O4	[M + H3N + H]+	NZKWTVDTULBJQN	InChI=1S/C23H39BN4O4/c1-6-25-13-14-27(4)17-22(29)26-20(16-19-11-9-7-8-10-12-19)23(30)28(5)21(24(31)32)15-18(2)3/h7,9,11,13,18,20-21,31-32H,4,6,8,10,12,14-17H2,1-3,5H3/p+1	null	B(C(CC(C)C)N(C)C(=O)C(CC1=CC=CCCC1)NC(=O)C[N+](=C)CC=NCC)(O)O	2.65372348	123259479	PubChem:(123259479)	2	463.34353	714.99765625	489_Fototroficos_analisis_3_muestrascompletas_estadi_1402	1402
6	1	1	1	1	0.984019718456689	-382.2725454243694	0.9964824120603014	10.269662402817447	C21H43N5O7	[M + H]+	ISEVKRXGMHDZEZ	InChI=1S/C21H43N5O7/c1-14(2)18(20(29)23-5)25-21(30)19(15(3)4)26(6)17(28)7-9-31-11-12-32-10-8-24-16(27)13-33-22/h14-15,18-19,21,25,30H,7-13,22H2,1-6H3,(H,23,29)(H,24,27)	null	CC(C)C(C(NC(C(C)C)C(=O)NC)O)N(C)C(=O)CCOCCOCCNC(=O)CON	-1.0	134525838	PubChem:(134525838)	2	478.32336	697.72	451_Fototroficos_analisis_3_muestrascompletas_estadi_1324	1324
7	1	2	1	2	0.9758872045338295	-175.85344132786747	0.09396984924623117	31.228724556128284	C12H28FN3O	[M + Na]+	QYRFKDWEAJTEMX	InChI=1S/C12H28FN3O/c1-4-5-11(2)6-8-16(3)9-7-12(15-17)10-14-13/h11-12,14-15,17H,4-10H2,1-3H3	null	CCCC(C)CCN(C)CCC(CNF)NO	2.20000005	126537863	PubChem:(126537863)	2	272.21193	334.015	329_Fototroficos_analisis_3_muestrascompletas_estadi_887	887
8	1	1	1	1	0.9708414405026318	-45.27464908517451	0.9999999999999999	38.014086842453395	C29H43N5O6	[M + H]+	ZTVIQXQXZQPLEX	InChI=1S/C29H43N5O6/c1-17(2)23(30)26(36)32-24(18(3)4)28(38)34-15-9-13-22(34)27(37)33-14-8-12-21(33)25(35)31-20(29(39)40)16-19-10-6-5-7-11-19/h5-7,10-11,17-18,20-24H,8-9,12-16,30H2,1-4H3,(H,31,35)(H,32,36)(H,39,40)	null	CC(C)C(C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)N	0.100000001	9807824	PubChem:(9807824)	2	558.32934	218.66453124999998	224_Fototroficos_analisis_3_muestrascompletas_estadi_501	501
9	1	1	1	1	0.9707728877899191	-7.244079277583073	0.9959798994974873	47.45766625871449	C14H16N2O2	[M + H]+	QZBUWPVZSXDWSB	InChI=1S/C14H16N2O2/c17-13-12-7-4-8-16(12)14(18)11(15-13)9-10-5-2-1-3-6-10/h1-3,5-6,11-12H,4,7-9H2,(H,15,17)	Oprea1_746677	C1CC2C(=O)NC(C(=O)N2C1)CC3=CC=CC=C3	1.39999998	99895;443440;6427771;6992198;6992199;9837725	SuperNatural:(SN00002278 SN00002277 SN00002276 SN00001912);ZINC bio:(ZINC00967981 ZINC01557594 ZINC01557595 ZINC01557596);additional;MeSH:(99895 443440 6427771);PubMed;NORMAN:(NS00047284);COCONUT:(CNP0184686);KNApSAcK:(38889);Natural Products:(UNPD184905 UNPD195970 UNPD70697 UNPD107081);PubChem:(99895 443440 6427771 6992198 6992199 9837725);CHEBI:(69440);KEGG:(C11847);Training Set;Biocyc:(CPD-20365)	3991926	245.12872	173.02734375	189_Fototroficos_analisis_3_muestrascompletas_estadi_377	377
10	1	1	1	1	0.9614862734446273	-36.7941581014389	0.9899497487437185	28.700095396048464	C33H43N5O7	[M + H]+	XPSCPPWMEMHJKP	InChI=1S/C33H43N5O7/c1-20(2)28(36-29(40)24(34)18-22-12-14-23(39)15-13-22)32(43)37-16-6-10-26(37)30(41)35-25(19-21-8-4-3-5-9-21)31(42)38-17-7-11-27(38)33(44)45/h3-5,8-9,12-15,20,24-28,39H,6-7,10-11,16-19,34H2,1-2H3,(H,35,41)(H,36,40)(H,44,45)	null	CC(C)C(C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)N	0.400000006	10416434	PubChem:(10416434)	2	622.32404	240.125	241_Fototroficos_analisis_3_muestrascompletas_estadi_565	565
